"","Бумажный.дом","Очень.странные.дела","Клан.Сопрано","Во.все.тяжкие","Американская.история.ужасов","Игра.в.кальмара","Сверхъестественное","Ходячие.мертвецы","Ведьмак","Острые.козырьки"
"1",7,1,1,7,NA,8,1,1,1,6
"2",5,7,3,8,4,6,10,10,1,7
"3",5,5,7,10,3,5,5,5,7,10
"4",5,5,7,10,5,9,6,8,5,9
"5",8,5,7,10,5,9,10,5,5,10
"6",5,8,8,9,4,8,7,3,7,8
"7",9,10,8,10,7,9,9,8,7,9
"8",5,6,4,8,7,2,7,4,8,5
"9",7,8,6,10,5,9,4,8,7,5
"10",8,7,10,10,5,6,9,8,2,8
"11",6,7,9,9,7,5,10,9,6,6
"12",8,8,8,10,7,8,8,8,2,7
"13",7,5,5,9,7,10,7,4,6,6
"14",7,8,9,10,7,7,7,8,6,8
"15",2,7,5,9,7,4,6,10,8,7
"16",9,7,7,6,6,8,8,6,9,10
"17",4,10,10,10,7,7,8,5,7,9
"18",5,5,5,5,5,5,5,5,5,5
